id,Outcome,Type_of_outcome,First_Author,publication_year,population,nationality,job_role,study_design,time_points,intervention,intervention_class,Comparison Group,n_intervention,n_control,effect_measure,effect_size,lower_ci,upper_ci,p_value,n_outcome_intervention_binary_beginning,n_outcome _intervention_binary_final,n_outcomes_binary_control_begin,n_outcomes_binary_control_end ,mean_continuous_intervention_begin ,mean_continuous_intervention_end ,mean_continuous_ctrl_begin,mean_continuous_ctrl_end,scale_metric_outcome,industry_setting,study_duration,assessed_quality 
de Vries_2015_3,Self-reported cognitive functioning,Self-reported cognitive functioning improvement,Juriena D. de Vries,2015,Employees from healthcare and other organizations,,employees   ,two-arm parallel randomized controlled trial.,"4 ( pre-intervention, post-intervention, and at 6 weeks and 12 weeks after the intervention)",6-week - exercise intervention consists of three one-hour low-intensity outdoor running sessions a week,Secondary,wait-listed control group,Wave 1 = 49 Wave 2 = 31;  Wave 3 =  37; Wave 4 = 36,Wave 1 = 47; Wave 2 = 35 Wave 3 = 35 ; Wave 4 = 35,F value,5.97,,,p < .05,NA,NA,NA,NA,40.68,37.33,43.72,43.73,25-item Dutch version of the Cognitive Failures Questionnaire,"The exercise intervention consisted of 1-hour low-intensity running sessions three times a week for a period of six consecutive weeks. Two running sessions were carried out in a small group of ten participants, led by a licensed running trainer, and one running session was carried out independently by the participant",4 months,
de Vries_2015_2b,fatigue,fatigue reduction ,Juriena D. de Vries,2015,Employees from healthcare and other organizations,,employees   ,two-arm parallel randomized controlled trial.,"4 ( pre-intervention, post-intervention, and at 6 weeks and 12 weeks after the intervention)",6-week - exercise intervention consists of three one-hour low-intensity outdoor running sessions a week,Secondary,wait-listed control group,Wave 1 = 49 Wave 2 = 31;  Wave 3 =  37; Wave 4 = 36,Wave 1 = 47; Wave 2 = 35 Wave 3 = 35 ; Wave 4 = 35,Cohens d,-0.55,,,p < .01,NA,NA,NA,NA,27.43,24.62,30.15,28.63,10-item Fatigue Assessment Scale,"The exercise intervention consisted of 1-hour low-intensity running sessions three times a week for a period of six consecutive weeks. Two running sessions were carried out in a small group of ten participants, led by a licensed running trainer, and one running session was carried out independently by the participant",4 months,
de Vries_2015_2a,fatigue,fatigue reduction,Juriena D. de Vries,2015,Employees from healthcare and other organizations,,employees   ,two-arm parallel randomized controlled trial.,"4 ( pre-intervention, post-intervention, and at 6 weeks and 12 weeks after the intervention)",6-week - exercise intervention consists of three one-hour low-intensity outdoor running sessions a week,Secondary,wait-listed control group,Wave 1 = 49 Wave 2 = 31;  Wave 3 =  37; Wave 4 = 36,Wave 1 = 47; Wave 2 = 35 Wave 3 = 35 ; Wave 4 = 35,F value,14.71,,,p < .01,NA,NA,NA,NA,27.43,24.62,30.15,28.63,10-item Fatigue Assessment Scale,"The exercise intervention consisted of 1-hour low-intensity running sessions three times a week for a period of six consecutive weeks. Two running sessions were carried out in a small group of ten participants, led by a licensed running trainer, and one running session was carried out independently by the participant",4 months,
de Vries_2015_1b, emotional exhaustion, emotional exhaustion reduction,Juriena D. de Vries,2015,Employees from healthcare and other organizations,,employees   ,two-arm parallel randomized controlled trial.,"4 ( pre-intervention, post-intervention, and at 6 weeks and 12 weeks after the intervention)",6-week - exercise intervention consists of three one-hour low-intensity outdoor running sessions a week,Secondary,wait-listed control group,Wave 1 = 49 Wave 2 = 31;  Wave 3 =  37; Wave 4 = 36,Wave 1 = 47; Wave 2 = 35 Wave 3 = 35 ; Wave 4 = 35,Cohens d,-0.62,,,p < .01,NA,NA,NA,NA,3.28,2.57,3.62,3.26,emotional exhaustion scale of the Dutch version of the Maslach Burnout Inventory,"The exercise intervention consisted of 1-hour low-intensity running sessions three times a week for a period of six consecutive weeks. Two running sessions were carried out in a small group of ten participants, led by a licensed running trainer, and one running session was carried out independently by the participant",4 months,
de Vries_2015_1a, emotional exhaustion, emotional exhaustion reduction,Juriena D. de Vries,2015,Employees from healthcare and other organizations,,employees   ,two-arm parallel randomized controlled trial.,"4 ( pre-intervention, post-intervention, and at 6 weeks and 12 weeks after the intervention)",6-week - exercise intervention consists of three one-hour low-intensity outdoor running sessions a week,Secondary,wait-listed control group,Wave 1 = 49 Wave 2 = 31;  Wave 3 =  37; Wave 4 = 36,Wave 1 = 47; Wave 2 = 35 Wave 3 = 35 ; Wave 4 = 35,F value,16.19,,,p < .01,NA,NA,NA,NA,3.28,2.57,3.62,3.26,emotional exhaustion scale of the Dutch version of the Maslach Burnout Inventory,"The exercise intervention consisted of 1-hour low-intensity running sessions three times a week for a period of six consecutive weeks. Two running sessions were carried out in a small group of ten participants, led by a licensed running trainer, and one running session was carried out independently by the participant",4 months,
Geraedts_2014_5b,Anxiety Symptoms,Anxiety Symptoms reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Cohens d,0.15,,,,NA,NA,NA,NA,17.7,6.6,10.2,6.8,anxiety subscale of the Hospital Anxiety and Depression Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_5a,Anxiety Symptoms,Anxiety Symptoms reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Adjusted B value (Adjusted regression coefficient: analyses adjusted for baseline variables and baseline outcome score.),0.6,–0.19,1.38,0.13,NA,NA,NA,NA,17.7,6.6,10.2,6.8,anxiety subscale of the Hospital Anxiety and Depression Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_4b,Burnout cynicism reduced professional efficacy,reduced professional efficacy reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Cohens d,0.04,,,,NA,NA,NA,NA,17.7,2.2,2.7,2.3,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_4a,Burnout cynicism reduced professional efficacy,reduced professional efficacy reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Adjusted B value (Adjusted regression coefficient: analyses adjusted for baseline variables and baseline outcome score.),0.04,–0.20,0.27,0.76,NA,NA,NA,NA,17.7,2.2,2.7,2.3,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_3b,Burnout cynicism,Burnout cynicism reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Cohens d,–0.05,,,,NA,NA,NA,NA,17.7,2.4,3.1,2.4,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_3a,Burnout cynicism,Burnout cynicism reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Adjusted B value (Adjusted regression coefficient: analyses adjusted for baseline variables and baseline outcome score.),–0.07,–0.32,0.18,0.57,NA,NA,NA,NA,17.7,2.4,3.1,2.4,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_2b,Burnout exhaustion,Burnout exhaustion reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Cohens d,0.08,,,,NA,NA,NA,NA,17.7,2.3,3.3,2.5,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_2a,Burnout exhaustion,Burnout exhaustion reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Adjusted B value (Adjusted regression coefficient: analyses adjusted for baseline variables and baseline outcome score.),0.1,–0.13,0.33,0.4,NA,NA,NA,NA,17.7,2.3,3.3,2.5,Maslach Burnout Inventory-General Scale,"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_1b,Depressive Symptoms,Depressive Symptoms reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Cohens d,0.05,,,,NA,NA,NA,NA,17.7,13.8,26.1,16.2,Center for Epidemiologic Studies Depression scale (CES-D),"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Geraedts_2014_1a,Depressive Symptoms,Depressive Symptoms reduction,Anna S Geraedts,2014,employees from 6 companies,Netherlands,Employees  ,two-arm randomized controlled trial,"4 (baseline, 8 weeks, 4 months, and 6 months)","worker-directed, Web-based, guided self-help intervention - It consists of 2 evidence-based treatments; problem-solving treatment (PST) and cognitive therapy (CT) and a guideline for employees to help them to prevent work-related stress",secondary,Control,Wave 1 = 116 Wave 2 = 75 Wave 3 = 71 Wave 4 = 60 ,Wave 1 = 115 Wave 2 = 96 Wave 3 = 86 Wave = 65 ,Adjusted B value (Adjusted regression coefficient: analyses adjusted for baseline variables and baseline outcome score.),0.46,–2.11,3.03,0.72,NA,NA,NA,NA,17.7,13.8,26.1,16.2,Center for Epidemiologic Studies Depression scale (CES-D),"Participants were recruited via 6 different companies in the Netherlands—2 banking companies, 2 research institutes, 1 security company, and 1 university",12 months,
Furukawa_2012_1,Depression,Depression reduction,Toshi A. Furukawa,2012,Employees from factories and offices of a large manufacturing company,Japanese,employees   ,randomized control trial,"2 (baseline, at 4-month follow-up (end of treatment), and at 8-month follow-up)","Telephone Cognitive-Behavioral Therapy is a structured, manualized 8-session program administered via telephone by trained psychotherapists",secondary,waiting list control group,Wave 1 = 58; Wave 2 = 51; Wave 3 = 50 ,Wave 1 = 60; Wave 2 = 60; Wave 3 = 59 ,Cohens d,0.69,0.32,1.05,p = .001,NA,NA,NA,NA,17.7,11,16.8,15.7,Beck Depression Inventory-II.,working men and women at 13 factories and offices were screened,8 months,
Framke_2016_1b,Exhaustion,Exhaustion reduction,Elisabeth Framke,2016,pre school employees ,,"nurses, nurse assistants, pedagogical leaders",cluster randomized and parallel with two arms.,2 (baseline and 24 months post intervention),"organizational-level intervention aiming to improve the working environment with a focus on the core task at work, increased job satisfaction and reducedexhaustion and sleep disturbances among pre-school employees.",secondary,Control,Wave 1 = 775; Wave 2 = 423 ,Wave 1 = 470; Wave 2 = 241 ,Estimate,0.15,,,p = .20,NA,NA,NA,NA,2.72,2.56,3.01,2.73,one item derived from the Major Depression Inventory,,25 months,
Framke_2016_1a,Exhaustion,Exhaustion reduction,Elisabeth Framke,2016,pre school employees ,,"nurses, nurse assistants, pedagogical leaders",cluster randomized and parallel with two arms.,2 (baseline and 24 months post intervention),"organizational-level intervention aiming to improve the working environment with a focus on the core task at work, increased job satisfaction and reducedexhaustion and sleep disturbances among pre-school employees.",secondary,Control,Wave 1 = 775; Wave 2 = 423 ,Wave 1 = 470; Wave 2 = 241 ,t value (between group differences),,,,p > .05,NA,NA,NA,NA,2.72,2.56,3.01,2.73,one item derived from the Major Depression Inventory,,25 months,
FOUREUR_2013_3,Stress,Stres reduction,MARALYN FOUREUR,2013,Healthcare employees,Australian,Nurses and midwives,Pilot study using a pre and post intervention study design,2 (baseline and 8 weeks post intervention),mindfulness-based stress reduction intervention,secondary,none,39,NA,Wilcoxon signed-ranked test (2-tailed) for related samples.,,,,0.004,NA,NA,NA,NA,12.72,7.28,NA,NA,"DASS (Lovibond & Lovibond, 1995)",Convenience sampling was used to recruit up to 20 midwives and 20 nurses from two metropolitan teaching hospitals in NSW.,4 months,
FOUREUR_2013_2,Anxiety,Anxiety reduction,MARALYN FOUREUR,2013,Healthcare employees,Australian,Nurses and midwives,Pilot study using a pre and post intervention study design,2 (baseline and 8 weeks post intervention),mindfulness-based stress reduction intervention,secondary,none,39,NA,Wilcoxon signed-ranked test (2-tailed) for related samples.,,,,0.079,NA,NA,NA,NA,4.87,3.23,NA,NA,"DASS (Lovibond & Lovibond, 1995)",Convenience sampling was used to recruit up to 20 midwives and 20 nurses from two metropolitan teaching hospitals in NSW.,4 months,
FOUREUR_2013_1,Depression,Depression reduction,MARALYN FOUREUR,2013,Healthcare employees,Australian,Nurses and midwives,Pilot study using a pre and post intervention study design,2 (baseline and 8 weeks post intervention),mindfulness-based stress reduction intervention,secondary,none,39,NA,Wilcoxon signed-ranked test (2-tailed) for related samples.,,,,0.798,NA,NA,NA,NA,6.77,4.12,NA,NA,"DASS (Lovibond & Lovibond, 1995)",Convenience sampling was used to recruit up to 20 midwives and 20 nurses from two metropolitan teaching hospitals in NSW.,4 months,
Flaxman_2010_1,psychological distress,psychological distress reduction,Paul E. Flaxman,2010,Blue collar employees,,"Forty-five percent classified their job role as clerical or administration, 1% as manual, 21% as middle management/ technical, and 20% as senior management/ professional.",randomized controlled trial,"3 - baseline (Time 1), three
months after two initial training sessions (Time 2), and another three months after a final training session (Time 3).",Worksite stress management training - a mindfulnessbased CBT that has been successfully adapted for use in work settings. The SMT program adopted the principles and techniques of acceptance and commitment therapy,secondary,waiting list control group,Wave 1 = 177; Wave 2 = 104;  Wave 3 =  63,Wave 1 = 134; Wave 2 = 87;  Wave 3 =  64,t value,2.27,,,p < .05,NA,NA,NA,NA,4.04,1.8,4,3.87,"General Health Questionnaire-12 items (GHQ-12; Goldberg, 1978).","Data were collected from three identical SMTprojects that were conducted across two local gov-ernment organizations in London, U.K. ",6 months,
Gupta_2018_1,Mental Health   ,Mental Health improvement,Nidhi Gupta,2018, industrial workplaces blue collar employees, Denmark,Employees,cluster-randomized controlled trial,"4 (baseline and 8-, 10- and 12-month follow-up)","workshops where they mapped positive and negative aspects of their physical and psychosocial work environment and developed action plans addressing the highlighted issues, which were subsequently implemented by the participants",secondary,Control,Wave 1 = 168 Wave 2 = 140 Wave 3 = 137 Wave 4 = 132 ,Wave 1 = 196 Wave 2 = 172 Wave 3 = 156 Wave 4 = 159,"Beta (estimated difference between the groups, after adjustment for the baseline outcome score)",0.02,-0.13,-0.13,0.79,NA,NA,NA,NA,80,81.43,80.92,80.64,Mental health index from five items; three items from the SF-36 question-naire ; together with two items from WHO5 well-being index,"Three large Danish industrial workplaces, which
employed workers organized in teams and mainly carrying out manufacturing work, were recruited.",1 year,
Grant_2009_4,Wellbeing,,Anthony M. Grant,2009,Blue collar emplyees,,executives and senior managers from the nursing sector of a major Australian public health service agency. Participants’ roles were at Director and Senior Managerial level,randomized controlled trial,"3 [ baseline - Time 1, Time 2 (10 weeks) and Time 3
(20 weeks)]"," Leadership Development Program - based on individual 360-degree feedback, and one half-day leadership training workshop followed by individual executive coaching",secondary,waiting list control,,,F value,3.39,,,p < .05,NA,NA,NA,NA,102.66,113.95,104.8,115.42,Workplace Well-being Index,"The present study was conducted in a large-scale
public health agency in Australia. The agency covers a
geographical region of approximately 40,000 square
kilometres with 17,000 employees. The annual budget
is AU$1.5 billion (US$1.17 billion). The agency had
been undergoing a period of significant change and
organisational restructuring",20 weeks,
Grant_2009_3,Stress,,Anthony M. Grant,2009,Blue collar emplyees,,executives and senior managers from the nursing sector of a major Australian public health service agency. Participants’ roles were at Director and Senior Managerial level,randomized controlled trial,"3 [ baseline - Time 1, Time 2 (10 weeks) and Time 3
(20 weeks)]"," Leadership Development Program - based on individual 360-degree feedback, and one half-day leadership training workshop followed by individual executive coaching",secondary,waiting list control,,,F value,0.679,,,p > .05,NA,NA,NA,NA,10.4,8.1,9.9,5.8,,"The present study was conducted in a large-scale
public health agency in Australia. The agency covers a
geographical region of approximately 40,000 square
kilometres with 17,000 employees. The annual budget
is AU$1.5 billion (US$1.17 billion). The agency had
been undergoing a period of significant change and
organisational restructuring",20 weeks,
Grant_2009_2,Anxiety,,Anthony M. Grant,2009,Blue collar emplyees,,executives and senior managers from the nursing sector of a major Australian public health service agency. Participants’ roles were at Director and Senior Managerial level,randomized controlled trial,"3 [ baseline - Time 1, Time 2 (10 weeks) and Time 3
(20 weeks)]"," Leadership Development Program - based on individual 360-degree feedback, and one half-day leadership training workshop followed by individual executive coaching",secondary,waiting list control,,,F value,0.047,,,p > .05,NA,NA,NA,NA,2.4,2.5,3.33,1.52,,"The present study was conducted in a large-scale
public health agency in Australia. The agency covers a
geographical region of approximately 40,000 square
kilometres with 17,000 employees. The annual budget
is AU$1.5 billion (US$1.17 billion). The agency had
been undergoing a period of significant change and
organisational restructuring",20 weeks,
Grant_2009_1,Depression  ,,Anthony M. Grant,2009,Blue collar emplyees,,executives and senior managers from the nursing sector of a major Australian public health service agency. Participants’ roles were at Director and Senior Managerial level,randomized controlled trial,"3 [ baseline - Time 1, Time 2 (10 weeks) and Time 3
(20 weeks)]"," Leadership Development Program - based on individual 360-degree feedback, and one half-day leadership training workshop followed by individual executive coaching",secondary,waiting list control,,,F value,4.42,,,p < .05,NA,NA,NA,NA,5,2,3.23,2.28,"Depression Anxiety and Stress Scale (Lovibond & Lovibond, 1995)","The present study was conducted in a large-scale
public health agency in Australia. The agency covers a
geographical region of approximately 40,000 square
kilometres with 17,000 employees. The annual budget
is AU$1.5 billion (US$1.17 billion). The agency had
been undergoing a period of significant change and
organisational restructuring",20 weeks,
Hammer_2015_1,Self-Reported Physical health,Self-Reported Physical health improvement,Leslie B. Hammer,2015,construction workers,,"utility worker, electrician, plumber, carpenter, heavy equipment operator, and sidewalk repair person",randomized control trial design,2 (baseline & 12 months),"integrated work-family and safety support intervention - family-supportive supervisor behaviors. The intervention involved family- and safety-supportive supervisor behavior training (computer-based), followed by two weeks of behavior tracking and a four-hour, facilitated team effectiveness session including supervisors and employees.",secondary,Control,Wave 1 = 137 Wave 2 = 115,Wave 1 = 90 Wave 2 = 83,b value,−0.32,,,p > .05,NA,NA,NA,NA,47.51,48.1,46.52,48.14,12-item shortformhealth survey,Participants were construction and utility workers in a municipal public works department. this research is part of a larger research programon supervisor support interventions and specifically family-supportive supervisor behaviors (FSSB) conducted by Hammer and colleagues [,1 year,
Huang_2015_2, Psychological distress,,Shu-Ling Huang,2015,Manufacturing Employees,Taiwan,Employees, randomized controlled study,"5 (pre-intervention (T1), at mid-intervention (T2), at the completion of intervention (T3), four weeks after intervention (T4), and eight weeks after intervention (T5).","mindfulness-based intervention - two hours of mindfulness training weekly and forty-five minutes
of homework practice every day for eight weeks.",secondary,Control,Wave 1 = 72; Wave 2 = 60; Wave 3 = 59; Wave 4 = 59; Wave 5 = 59,Wave 1 = 72; Wave 2 = 67; Wave 3 = 60; Wave 4 = 54; Wave 5 = 54,t values,2.83,,,p = .005,NA,NA,NA,NA,19.8,16.2,20.9,18.9, Perceived Stress Scale, Two large-scale manufacturing factories (Factory A and Factory B) were chosen for this study,2 months,
Huang_2015_1, Psychological distress,,Shu-Ling Huang,2015,Manufacturing Employees,Taiwan,Employees, randomized controlled study,"5 (pre-intervention (T1), at mid-intervention (T2), at the completion of intervention (T3), four weeks after intervention (T4), and eight weeks after intervention (T5).","mindfulness-based intervention - two hours of mindfulness training weekly and forty-five minutes
of homework practice every day for eight weeks.",secondary,Control,Wave 1 = 72; Wave 2 = 60; Wave 3 = 59; Wave 4 = 59; Wave 5 = 59,Wave 1 = 72; Wave 2 = 67; Wave 3 = 60; Wave 4 = 54; Wave 5 = 54,t values,-2.59,,,p = .010,NA,NA,NA,NA,15.4,10.8,15.1,13.3,"Chinese Health Questionnaire (CHQ-12) adapted from
the General Health Questionnaire", Two large-scale manufacturing factories (Factory A and Factory B) were chosen for this study,2 months,
Hendriks_2018_4b,stress,stress reduction,Tom Hendriks,2018,Blue collar employees,Suriname(member of the Caribbean Community),Employees,parallel single-blinded RCT,"3 (baseline, postintervention, and at 3-months follow-up)",culturally adapted multi-component positive psychology intervention (MPPI) on resilience,secondary,wait-list control,Wave 1 = 80 Wave 2 = 73 Wave 3 = 66,Wave 1 = 78; Wave 2 = 71; Wave 3 = 54,Cohen's d ,0.079,,,p > .05,NA,NA,NA,NA,1.84,1.62,1.91,1.73,Depression Anxiety Stress Scale (DASS-21),"The present study was conducted in Paramaribo, the capital
city of Suriname. Suriname is a former colony of the
Netherlands, located north of Brazil and considered as
a part of the Caribbean.  Potential participants were screened by the respective human resource managers of these companies and they were included on the basis of the following criteria: (1) age between 18 and 60 years; (2) sufficiently fluent in the Dutch language to capably fill-out questionnaires, read a training manual, and participate in written exercises; (3) available to participate in an opening session, followed by six 2–3 hour intervention sessions, for six consecutive weeks.",5 months,
Hendriks_2018_4a,stress,stress reduction,Tom Hendriks,2018,Blue collar employees,Suriname(member of the Caribbean Community),Employees,parallel single-blinded RCT,"3 (baseline, postintervention, and at 3-months follow-up)",culturally adapted multi-component positive psychology intervention (MPPI) on resilience,secondary,wait-list control,Wave 1 = 80 Wave 2 = 73 Wave 3 = 66,Wave 1 = 78; Wave 2 = 71; Wave 3 = 54,F value,3.13,,,,NA,NA,NA,NA,1.84,1.62,1.91,1.73,Depression Anxiety Stress Scale (DASS-21),"The present study was conducted in Paramaribo, the capital
city of Suriname. Suriname is a former colony of the
Netherlands, located north of Brazil and considered as
a part of the Caribbean.  Potential participants were screened by the respective human resource managers of these companies and they were included on the basis of the following criteria: (1) age between 18 and 60 years; (2) sufficiently fluent in the Dutch language to capably fill-out questionnaires, read a training manual, and participate in written exercises; (3) available to participate in an opening session, followed by six 2–3 hour intervention sessions, for six consecutive weeks.",5 months,
Hendriks_2018_3b,anxiety,anxiety reduction,Tom Hendriks,2018,Blue collar employees,Suriname(member of the Caribbean Community),Employees,parallel single-blinded RCT,"3 (baseline, postintervention, and at 3-months follow-up)",culturally adapted multi-component positive psychology intervention (MPPI) on resilience,secondary,wait-list control,Wave 1 = 80 Wave 2 = 73 Wave 3 = 66,Wave 1 = 78; Wave 2 = 71; Wave 3 = 54,Cohen's d ,0.32,0.01,0.64],p = .047,NA,NA,NA,NA,1.64,1.44,1.69,1.5,Depression Anxiety Stress Scale (DASS-21),"The present study was conducted in Paramaribo, the capital
city of Suriname. Suriname is a former colony of the
Netherlands, located north of Brazil and considered as
a part of the Caribbean.  Potential participants were screened by the respective human resource managers of these companies and they were included on the basis of the following criteria: (1) age between 18 and 60 years; (2) sufficiently fluent in the Dutch language to capably fill-out questionnaires, read a training manual, and participate in written exercises; (3) available to participate in an opening session, followed by six 2–3 hour intervention sessions, for six consecutive weeks.",5 months,
Hendriks_2018_3a,anxiety,anxiety reduction,Tom Hendriks,2018,Blue collar employees,Suriname(member of the Caribbean Community),Employees,parallel single-blinded RCT,"3 (baseline, postintervention, and at 3-months follow-up)",culturally adapted multi-component positive psychology intervention (MPPI) on resilience,secondary,wait-list control,Wave 1 = 80 Wave 2 = 73 Wave 3 = 66,Wave 1 = 78; Wave 2 = 71; Wave 3 = 54,F value,4.01,,,p = .047,NA,NA,NA,NA,1.64,1.44,1.69,1.5,Depression Anxiety Stress Scale (DASS-21),"The present study was conducted in Paramaribo, the capital
city of Suriname. Suriname is a former colony of the
Netherlands, located north of Brazil and considered as
a part of the Caribbean.  Potential participants were screened by the respective human resource managers of these companies and they were included on the basis of the following criteria: (1) age between 18 and 60 years; (2) sufficiently fluent in the Dutch language to capably fill-out questionnaires, read a training manual, and participate in written exercises; (3) available to participate in an opening session, followed by six 2–3 hour intervention sessions, for six consecutive weeks.",5 months,
